Computer Number,Gender,Academic Year,Year Of Study,School,Program,MajorDescription,MinorDescription,Total number of courses,Sponsor,Accomodated,Moodle logins,CA + Exam
2045,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,PHYSICAL EDUCATION AND SPORTS,4,GRZ-FULLY SPONSORED,No,,63
2046,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,Yes,0.07,41
2047,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,No,,67
2048,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,No,0.04,38
2049,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,Yes,,52
2050,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,Yes,,45
2051,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ - 75 PERCENT,No,,57
2052,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,54
2053,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CHINESE,4,GRZ-FULLY SPONSORED,Yes,,55
2054,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,No,,57
2055,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,50
2056,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,Yes,,53
2057,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,RELIGIOUS STUDIES,4,GRZ-FULLY SPONSORED,No,,34
2058,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,,62
2059,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,46
2060,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ - 75 PERCENT,No,,45
2061,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,5,GRZ-FULLY SPONSORED,No,,45
2062,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,5,GRZ-FULLY SPONSORED,No,,47
2063,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,No,,56
2064,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,RELIGIOUS STUDIES,4,GRZ - 75 PERCENT,No,,45
2065,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,No,,62
2066,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,,54
2067,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,Yes,,63
2068,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,RELIGIOUS STUDIES,4,GRZ - 75 PERCENT,No,,43
2069,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,FRENCH,4,GRZ - 75 PERCENT,No,,53
2070,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,,47
2071,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,55
2072,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,RELIGIOUS STUDIES,4,GRZ - 75 PERCENT,No,,31
2073,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,5,GRZ-FULLY SPONSORED,Yes,,59
2074,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,Yes,0,41
2075,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,No,,40
2076,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,Yes,,53
2077,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,Yes,,51
2078,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,57
2079,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,46
2080,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,21
2081,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,45
2082,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,76
2083,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,No,,48
2084,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ - 75 PERCENT,No,,43
2085,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,45
2086,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ - 75 PERCENT,No,,43
2087,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ - 75 PERCENT,No,,58
2088,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,GRZ-FULLY SPONSORED,No,,44
2089,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,PHYSICAL EDUCATION AND SPORTS,4,GRZ - 75 PERCENT,No,,62
2090,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,,46
2091,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,SELF-SPONSORED,No,,45
2092,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ - 75 PERCENT,No,,38
2093,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,Yes,,55
2094,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ - 75 PERCENT,No,,45
2095,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,No,,45
2096,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,MATHEMATICS,4,GRZ-FULLY SPONSORED,No,,59
2097,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,50
2098,F,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,FRENCH,4,SELF-SPONSORED,Yes,,45
2099,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,CIVIC EDUCATION,5,GRZ-FULLY SPONSORED,No,,75
2100,M,20171,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,GEOGRAPHY,4,GRZ-FULLY SPONSORED,No,,59
2101,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,SELF-SPONSORED,No,,49
2102,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,,50
2103,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0.13,72
2104,M,20191,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,,No,,
2105,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,0,14
2106,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,,38.5
2107,M,20191,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,SELF-SPONSORED,No,,
2108,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,0,49
2109,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,TUITION WAIVER(DEPENDANTS),Yes,0.25,30
2110,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,ENGLISH,5,GRZ-FULLY SPONSORED,No,0,63
2111,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0,52
2112,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,,52
2113,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,,58
2114,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0,45
2115,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,,45
2116,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,0,73
2117,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,HISTORY,4,TUITION WAIVER(DEPENDANTS),No,,39
2118,F,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,Yes,0,58
2119,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,0,34
2120,M,20181,1st Year,EDUCATION,BACHELOR OF INFORMATION AND COMMUNICATION TECHNOLOGIES WITH EDUCATION (B.ICTs.Ed),ICTs and Education,,,GRZ-FULLY SPONSORED,No,,56
